,"SC-superconducting, NM-normal, TS-transitional",,,,,,,Beam Parameters,,,Laser Parameters,,,Channel assignments,,,,,,,
Series Number,Type,Voltage (V),#Traces (neutron assumed 3600),Seconds of DAQ,Rad source?,Fridge Temp (mK),PMT Series,Beam Current (nA),Beam B Field (mT),Terminal Voltage (MV),Laser Pulse Freq (MHz),Laser Burst Freq (Hz),Laser Power,CH2&3,CH1,CH4,CHD0 ,CHD1,CHD2,"Bias (percentage, CH2, CH3)",Comment
20190702085729,TS noise,100,10,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1135, 1141",
20190702090834,Laser,100,1200,1200,No,52,,,,,1,101,20,TES,N/C,N/C,Laser Trig,N/C,N/C,"~30%, 1135, 1141",
20190702093026,Laser,100,1200,1200,No,52,,,,,1,101,8,TES,N/C,N/C,Laser Trig,N/C,N/C,"~30%, 1135, 1141",
20190702095046,Laser,100,1200,2527,No,52,,,,,1,101,3,TES,N/C,N/C,Laser Trig,N/C,N/C,"~30%, 1135, 1141",
20190702114510,Cs source,100,1745,3600,Cs,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1135, 1141",effective data actually starts at 1152 since temperature control was not on before that
20190702132050,Cs source,100,2629,2630,Cs,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1135, 1141","Moving brick 2cm to the right, (from 5.75CM to 3.75CM)"
20190702140934,Cs source,100,600,600,Cs,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1135, 1141","Moving brick 2cm to the left, (from 5.75CM to 7.75CM)"
20190702142308,Cs source,100,600,600,Cs,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1135, 1141","Moving brick 1.5cm to the bottom (limited by the range of the labjack), (5.75cm horizontally)"
20190702143934,Cs source,100,600,600,Cs,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1135, 1141","Moving brick 2cm to the top, (5.75cm horizontally)"
20190702153631,Beam,100,3009,3006,Neutron,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1135, 1141",
20190702165825,Background,100,120,120,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1135, 1141","120 s of background data, mainly to test if time syncing data is present in CHD2."
20190702171234,Background,100,Unknown,54,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1135, 1141",
20190702171543,Beam,100,Unknown,3600,No,52,,500,,,,,,TES,N/C,N/C,N/C,N/C,Time sync,"~30%, 1135, 1141",
20190702181510,Beam,100,Unknown,3254,No,52,,500,,,,,,TES,N/C,N/C,N/C,N/C,Time sync,"~30%, 1135, 1141",
20190703085014,IV curve,100,,0,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,Time sync,,
20190703085931,SC noise,100,,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,Time sync,,
20190703090046,NM noise,100,,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,Time sync,,
20190703090704,TS noise,100,,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,Time sync,,
20190703090905,Laser,100,1200,1200,No,52,,,,,1,101,40,TES,N/C,N/C,Laser Trig,N/C,Time sync,"~30%, 1145, 1156",
20190703092938,Laser,100,1200,1200,No,52,,,,,1,101,20,TES,N/C,N/C,Laser Trig,N/C,Time sync,"~30%, 1145, 1156",
20190703095640,Laser,100,1200,1200,No,52,,,,,1,101,10,TES,N/C,N/C,Laser Trig,N/C,Time sync,"~30%, 1145, 1156",
20190703101908,Laser,100,3600,3600,No,52,,,,,1,101,4,TES,N/C,N/C,Laser Trig,N/C,Time sync,"~30%, 1145, 1156",
20190703121358,Beam,100,3600,3600,Neutron,52,20190703121403,580,198.171,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",Temperature went crazy half way
20190703133457,Beam,100,3600,3600,Neutron,52,20190703133501,600,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",
20190703145238,Beam,100,,719,Neutron,52,20190703145242,540,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",Animal DAQ crashed after 10 minutes
20190703150933,Beam,100,,3600,Neutron,52,20190703150930,540,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",
20190703161354,Beam,100,,3600,Neutron,52,20190703161356,560,198.181,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",
20190703171511,Beam,100,,3600,Neutron,52,20190703171512,550,198.176,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",
20190703181711,Beam,100,,3600,Neutron,52,20190703181714,550,198.176,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",
20190703191802,Beam,100,,3600,Neutron,52,20190703191757,560,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",
20190703201837,Beam,100,,3600,Neutron,52,20190703201840,500,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1145, 1156",
20190704084740,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190704090531,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190704090636,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190704090813,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704091501,Laser,100,,600,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704092519,Laser,100,,600,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704093546,Laser,100,,1200,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
20190704095645,Laser,100,,3600,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1147, 1158",
